epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5684,1.44711,5.05443,1.32302,0.01468,0.00309,0.00248,0.00195,1.29497,4.88432,1.14393,4.0672e-05,4.0672e-05,4.0672e-05
2,121.954,1.51002,4.69636,1.31469,0.63096,0.00795,0.0067,0.00439,1.37577,4.18728,1.17498,6.55009e-05,6.55009e-05,6.55009e-05
3,193.484,1.52563,4.34021,1.30049,0.82653,0.00706,0.00719,0.00452,1.35342,3.81662,1.16065,7.40939e-05,7.40939e-05,7.40939e-05
4,250.622,1.48816,4.12441,1.29711,0.81494,0.00752,0.0072,0.00447,1.34876,3.76998,1.16067,4.9938e-05,4.9938e-05,4.9938e-05
5,307.749,1.51906,4.03694,1.2944,0.76403,0.00811,0.00817,0.00507,1.35113,3.79619,1.16579,2.5584e-05,2.5584e-05,2.5584e-05
